,0
116,10만원으로 5개월만네 주식으로 1억찍으면
117,대한항공 같은 건 물려도 돼
118,이마트 지금 들어가는거 괜찮나?
119,주린이 월욜날 곱버스 올인태울거 생각하니까
120,본주랑 신주인수권 가격 괴리 왜 생기는거???
121,삼전 내일 오를 호재뭐임? 하이닉스 들어가려했더니
122,느그들이 물고빨고하는 워렌버핏도
123,시드 존나 중요하지 ㅋㅋㅋㅋ
124,대출받아서 시드 늘려서 투자 해야함.
125,이새끼들 욱긴게
126,제주항공 무조건 오르겠지???
127,시드는 중요하지않다는새끼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
128,미안해. 그런 표정은.
129,시드의 중요성을 보여준다
130,오늘 특근하러 일어났당.
131,내일 삼전 시작가 얼마정도 하려나~
132,진에어 vs 제주항공
133,워렌버핏의 명언
134,조누 댄공 추천글 보고 좃문가느낌 딱왓따
135,시청률에 항상 역대를 붙이는 회사
136,주린이 질문이 있어요
137,"노력, 재능을 어느정도 커버 칠 수 있는게 시드인데"
138,일본여자vs한국여자.jpg
139,맛있겠노 ㅋ
140,무림 페이퍼 kmh하이텍
141,진에어 Cgv 쇼박스 다 가지고 있다
142,씨드가 100억인 사람은 진짜 좋겠다
143,살려듀랴 제발 여기서 탈출시켜듀랴
144,테슬라 바겐세일각
145,이승기의 한번만더 부른 가수 죽었네
146,비트코인으로 200억 벌은 사람 현재 사는 모습 나왔는데
147,코로나 진짜 끝나면 대한항공 10만항공 가지
148,코로나 진짜 끝나면 대한항공 10만항공 가지
149,가게 출근했다 정신력 ㅅㅌㅊ?
150,10억 정도 있으면 회사 차려면 이쁜 경리 채용해 너네 사귈 거지?
151,"이 방송 보면, 신한은행 부부장님이 달러, 금 사라는데 어떻게 사는 거야"
152,대한항공은 정보력 약한 개미는 안사는게 맞지
153,우량주에 장기 투자해야하는 이유.TXT
154,양말다져졌노  좆가네
155,씨-발 취업하고 싶다
156,우량주 하면 좋은점좀말해줘
157,개나 소나 삼전 액분 참여할 때 (고점). 개나소나 삼전 사는 지금(고점
158,솔직히 내가 대한항공 이렇게 빨아주는거 땅콩 누나는 알까?
159,삼전 지금도 늦진 않앗지?
160,눈오노 ㅋ
161,내년에 21되는데
162,지금 콩나물 해장국 먹으러갈꺼댜 ㅋ
163,해장국 추천좀
164,주식 인정합니다
165,진짜 요즘 주식으로 돈버니까 토토도 따네
166,친구가 로또 1등되서 1억준다는데 양도소득세나옴?
167,술먹고나서 불짬뽕 먹으면 안되냐?
168,둘 중에 뭐가 더 좋은 회사임?
169,속 좆나 쓰린데 불짬뽕 시켜도되냐?
170,학식충 월마다 최소 10씩 삼전이나 댄공 박기로 했음다..
171,대한항공 살바엔 한국공항을 사지 ㅋㅋㅋ
172,경창산업 추천한다.. 쉽게 먹을수있는 종목 
173,스시녀 시리즈12호.jpg
174,"조두순 현상으로 정치 아웃, 윤석열 실종."
175,주식이란게 노력하는만큼 돌아오냐?
176,형들 댄공우vs댄공
177,난 지난 3년간 15억벌었는데 너무 행복하고 만족함
178,섯다하는데 이거 확률 얼마나되냐?
179,잠못이루는 청와대의밤 
180,유상증자는 본주만 해당하는거임?
181,철강주들 심상지 않음...
182,주린이들이 삼전주가를 잘 모르네..
183,대장주만 사면 안되냐
184,엔매수 수익 800만..
185,대림산업더사도될까여??
186,이 시간에도 열심히 촬영 편집 중인 레이레이요입니다
187,[대한항공] 내년 코로나 해소시 최소 6만원 간다고 본다.
188,110.10이새끼 왜 혼자 자연발화냐
189,포모 저래 더갈줄은 몰랐지..
190,주린)) 증권사별로 호가창이나 시세가 따로 적용인가요?
191,하지만 삼전나도안사고있다
192,삼전 얼마까지 가려나
193,안전하게 돈 불리고 싶으면
194,주가는 어떻게 결정됨?
195,회사안에 코로나 떳다고 문자왔는데
196,주식이란게 참 신기해
197,삼성전자
198,너네일부로그러냐?
199,버즈링크 가입 이벤트 5천원~10만원 지급중
200,나 주린인데 궁금한거있다 아는사람좀 알려줘라
201,새벽에픽하나준다..
202,넵튠 3.2할때까지만하더라도 안티하면 병신취급당했음
203,대웅사라 말했다
204,단타는 전체시드에 몇%가 적당함?
205,cgv는 뭔데 과열종목 걸려있냐.
206,모더나 팔았는데 시발 200달러 갈 것 같지 않냐?
207,주식에서 위험한 기업을 어떻게 캐치할까??
208,불황오면 안정적인기업의 주가가 오르나?
209,넵튠 금딱 2일차
210,무한 우상향 주식
211,"정세균 총리 포항 땅, 30억 넘어갔네 우와 주식보다 땅이 낫구먼"
212,집에 있자니 답답하고 나가기는 귀찮고
